precinct,candidate,total_votes,vote_pct,election_day,absentee,early_voting
4045,"Christine ""Chris"" Castillo",44.0,21.15,22.0,6.0,16.0
4045,DeEtt Dresch,6.0,2.88,2.0,0.0,4.0
4045,"Eduardo ""Eddie"" Pichardo",13.0,6.25,2.0,0.0,11.0
4045,Erasmo RAZ Hernandez,16.0,7.69,3.0,5.0,8.0
4045,Gloria A. Martinez,52.0,25.0,25.0,8.0,19.0
4045,Jessica Zapata Bogardus,33.0,15.87,15.0,7.0,11.0
4045,Mary Angie Garcia,36.0,17.31,15.0,8.0,13.0
4045,Raul Davila,8.0,3.85,1.0,1.0,6.0
