precinct,candidate,total_votes,vote_pct,election_day,absentee,early_voting
2144,"Christine ""Chris"" Castillo",50.0,24.88,28.0,5.0,17.0
2144,DeEtt Dresch,4.0,1.99,2.0,0.0,2.0
2144,"Eduardo ""Eddie"" Pichardo",15.0,7.46,7.0,0.0,8.0
2144,Erasmo RAZ Hernandez,18.0,8.96,7.0,1.0,10.0
2144,Gloria A. Martinez,46.0,22.89,22.0,1.0,23.0
2144,Jessica Zapata Bogardus,18.0,8.96,8.0,0.0,10.0
2144,Mary Angie Garcia,38.0,18.91,15.0,3.0,20.0
2144,Raul Davila,12.0,5.97,6.0,0.0,6.0
