precinct,candidate,total_votes,vote_pct,election_day,absentee,early_voting
2043,"Christine ""Chris"" Castillo",29.0,20.86,15.0,0.0,14.0
2043,DeEtt Dresch,2.0,1.44,0.0,0.0,2.0
2043,"Eduardo ""Eddie"" Pichardo",4.0,2.88,0.0,0.0,4.0
2043,Erasmo RAZ Hernandez,16.0,11.51,6.0,0.0,10.0
2043,Gloria A. Martinez,32.0,23.02,13.0,2.0,17.0
2043,Jessica Zapata Bogardus,8.0,5.76,5.0,0.0,3.0
2043,Mary Angie Garcia,37.0,26.62,10.0,8.0,19.0
2043,Raul Davila,11.0,7.91,4.0,1.0,6.0
